Campaign_ID,Campaign_Name,Channel,Region,Age_Group,Gender,Device,Content_Type,Date,Impressions,Clicks,Conversions,Spend_USD,Revenue_USD,CPC_USD
CMP-1451,New Year Push,Google Ads,Asia Pacific,35_44,Female,desktop,image,28/08/2023,58794.0,3672.0,36.0,15893.29,10219.73,3.92
CMP-0528,holiday season,Facebook,Middle East,35-44,F,Desktop,,04-18-2024,70232.0,1911.0,1923.0,10985.8,561893.17,6.08
CMP-1232,BLACK FRIDAY,Influencer,latin america,18_24,F,,,2023-10-17,91418.0,8523.0,358.0,38776.27,44322.97,4.49
CMP-0513,BLACK FRIDAY,seo,Europe,45-54,female,mobile,image,19 Apr 2024,144208.0,6936.0,505.0,23301.6,155103.98,3.4
CMP-1060,holiday season,EMAIL,Middle East,18_24,,desktop,video,"January 22, 2024",98096.0,8234.0,465.0,17165.56,126614.73,2.51
CMP-0786,summer sale 2024,tiktok,LATAM,Unknown,,Desktop,carousel,05-22-2024,37864.0,3775.0,301.0,32875.37,,7.85
CMP-1480,retargeting q2,facebook,Europe,35-44,male,mobile,Video,"April 28, 2024",39231.0,4612.0,331.0,17511.16,68718.39,4.21
CMP-1461,Spring Collection,Facebook,MEA,18_24,Other,desktop,Story,02/02/2023,124704.0,12169.0,123.0,58731.12,41137.71,4.32
CMP-1168,New Year Push,seo,europe,35-44,,,carousel,2023-05-20,112560.0,10630.0,10646.0,13717.92,1789760.99,1.31
CMP-1138,brand awareness q1,seo,APAC,55+,female,,carousel,12-14-2024,64125.0,4512.0,229.0,18247.59,59594.86,4.05
CMP-0417,Spring Collection,TikTok,latin america,Unknown,female,MOBILE,Video,"August 16, 2024",21352.0,877.0,12.0,1562.19,821.73,1.61
CMP-1368,retargeting q2,instagram,NA,35_44,N/A,Mobile,,12 Jul 2024,84283.0,6252.0,51.0,27525.55,8139.02,4.64
CMP-1256,new year push,EMAIL,APAC,55+,N/A,mobile,Video,22 Aug 2023,,3907.0,104.0,,6517.45,7.37
CMP-0308,New Year Push,email marketing,asia pacific,35_44,Other,MOBILE,image,05-24-2024,83605.0,4664.0,214.0,4005.62,23801.13,0.74
CMP-0030,product launch promax,Google Ads,Latin America,18-24,male,,,2023-10-12,48076.0,4742.0,80.0,18501.03,14680.38,4.05
CMP-0939,black friday,SEO,EU,18-24,N/A,desktop,Carousel,"September 04, 2023",37419.0,37445.0,1116.0,88227.7,343867.31,2.4
CMP-0298,new year push,Email,North America,25_34,Male,tablet,carousel,21/02/2024,72336.0,4484.0,201.0,2293.97,30012.0,0.47
CMP-0910,Summer Sale 2024,email marketing,NA,18_24,F,Desktop,Story,2023-10-05,76141.0,5190.0,208.0,,20182.3,1.62
CMP-0562,Holiday Season,EMAIL,North America,18_24,,mobile,Video,09/08/2023,114673.0,6506.0,101.0,36029.7,32139.11,6.47
CMP-0331,summer sale 2024,seo,NA,35_44,Female,desktop,,22 Jun 2023,117491.0,7892.0,627.0,14220.25,204760.11,1.53
CMP-0467,Spring Collection,seo,NA,35_44,Other,Mobile,Image,17/12/2023,59436.0,2199.0,161.0,15687.21,47847.99,6.73
CMP-0659,spring collection,TikTok,APAC,45-54,,tablet,,12/01/2023,141821.0,4941.0,336.0,19943.78,16159.0,4.08
CMP-0591,New Year Push,instagram,APAC,18-24,Female,Desktop,Carousel,08-25-2023,108171.0,5670.0,86.0,4317.1,7920.19,0.71
CMP-0362,Brand Awareness Q1,SEO,north america,N/A,Other,desktop,Carousel,"April 03, 2023",85186.0,4197.0,125.0,16549.48,29475.61,3.66
CMP-0456,holiday season,Facebook,APAC,25-34,F,desktop,carousel,"February 15, 2024",6367.0,560.0,26.0,502.32,5801.69,0.77
CMP-0269,Retargeting Q2,Influencer,MEA,55+,M,tablet,carousel,18 Jun 2023,83217.0,9508.0,86.0,78717.57,15065.62,7.85
CMP-1016,product launch promax,GOOGLE ADS,Latin America,35_44,Female,Desktop,Video,09 Aug 2023,,12028.0,12039.0,11048.93,544996.9,0.96
CMP-0906,Summer Sale 2024,EMAIL,LATAM,35-44,male,MOBILE,video,11 Nov 2024,63772.0,529.0,25.0,4559.88,3671.88,8.18
CMP-0681,Holiday Season,Google Ads,middle east,55+,F,MOBILE,,2023-03-18,0.0,42.0,1.0,82.22,253.96,2.36
CMP-0472,holiday season,Instagram,Middle East,35-44,male,Tablet,image,12 Jun 2024,124697.0,11805.0,187.0,92681.22,25581.24,7.94
CMP-1136,Holiday Season,Facebook,latin america,35-44,male,Desktop,Story,26 Jul 2023,,100103.0,5542.0,171288.29,1735091.11,1.74
CMP-1437,new year push,influencer,Asia Pacific,35_44,,Desktop,Carousel,22/12/2024,146955.0,1298.0,84.0,10301.15,11590.5,7.84
CMP-0816,BLACK FRIDAY,tiktok,NA,35_44,Female,mobile,image,"August 02, 2023",144283.0,7649.0,,35082.85,79682.21,5.17
CMP-1335,Retargeting Q2,instagram,Europe,,N/A,desktop,video,06-08-2023,121067.0,10151.0,366.0,9956.1,119217.36,0.86
CMP-0095,brand awareness q1,GOOGLE ADS,Middle East,45-54,F,Tablet,Video,2024-07-30,105257.0,10164.0,575.0,8401.4,82489.19,0.93
CMP-0823,New Year Push,Influencer,asia pacific,25_34,F,Tablet,,20 Jun 2023,145456.0,4163.0,20.0,23356.18,3270.0,5.34
CMP-1478,spring collection,facebook,north america,35-44,F,mobile,carousel,06-12-2023,14019.0,1072.0,53.0,6483.42,7859.99,6.68
CMP-0451,Retargeting Q2,email marketing,middle east,,Other,MOBILE,Image,12-22-2023,128507.0,1040.0,5.0,1487.72,757.0,1.6
CMP-0373,holiday season,google ads,North America,18_24,Other,,Story,2023-02-25,55941.0,4677.0,128.0,21205.03,39363.25,5.44
CMP-0492,spring collection,tiktok,middle east,,Other,Mobile,Image,27 Aug 2024,26341.0,2446.0,148.0,16336.14,41452.58,5.75
CMP-0470,new year push,Facebook,Middle East,,female,,Video,15 Sep 2023,107236.0,2713.0,64.0,14156.81,13133.9,4.42
CMP-0163,Black Friday,Influencer,Middle East,N/A,male,desktop,Carousel,"December 03, 2024",90329.0,1166.0,65.0,1138.04,14288.21,1.21
CMP-0057,Brand Awareness Q1,Google Ads,North America,55+,female,Tablet,carousel,"April 24, 2023",,2464.0,111.0,10836.44,23283.99,5.33
CMP-0023,Brand Awareness Q1,Instagram,Latin America,,female,Desktop,video,01/12/2024,32233.0,313.0,11.0,,1793.69,5.66
CMP-1328,Spring Collection,tiktok,europe,18-24,F,mobile,carousel,"May 22, 2023",83128.0,,,11980.07,29596.88,7.0
CMP-0336,Black Friday,FB,asia pacific,35_44,M,Tablet,Story,"August 12, 2023",-51789.0,36.0,2.0,275.78,77.18,6.7
CMP-0047,Brand Awareness Q1,google ads,europe,35_44,Other,,,02-29-2024,72109.0,3222.0,69.0,19383.78,2627.39,5.8
CMP-1250,Spring Collection,google ads,APAC,18-24,F,mobile,Story,07-23-2023,140400.0,3745.0,166.0,4038.51,18477.42,1.12
CMP-0991,Holiday Season,GOOGLE ADS,middle east,45-54,Male,desktop,video,11-22-2023,0.0,49.0,0.0,313.24,0.0,6.34
CMP-0733,summer sale 2024,Google Ads,europe,55+,Other,desktop,carousel,03-07-2023,39397.0,444.0,9.0,3900.5,1169.96,7.64
CMP-0500,New Year Push,seo,LATAM,35-44,female,mobile,Carousel,07-05-2023,8229.0,154.0,5.0,1276.4,328.54,8.05
CMP-0215,spring collection,Google Ads,Asia Pacific,35-44,M,Mobile,image,16/07/2024,0.0,7.0,0.0,46.13,0.0,7.37
CMP-1036,new year push,facebook,North America,45-54,male,Tablet,Video,"February 17, 2023",121951.0,5372.0,85.0,7112.47,9981.53,1.18
CMP-1125,Holiday Season,email marketing,latin america,N/A,,,Story,11 Apr 2024,51766.0,3169.0,76.0,17060.74,18629.32,6.51
CMP-0063,Holiday Season,email marketing,LATAM,25-34,N/A,desktop,video,11 Jun 2023,46136.0,874.0,28.0,0.0,5657.22,1.27
CMP-0418,summer sale 2024,email marketing,APAC,45-54,Male,desktop,video,"January 17, 2023",93124.0,2979.0,142.0,10978.78,,4.36
CMP-0466,holiday season,EMAIL,europe,,female,Mobile,Story,20 Aug 2024,-79918.0,32.0,0.0,260.83,0.0,8.47
CMP-0620,black friday,GOOGLE ADS,North America,25_34,Female,mobile,carousel,2023-09-01,135057.0,7939.0,570.0,62624.87,69165.18,8.3
CMP-0964,Black Friday,EMAIL,latin america,25_34,F,mobile,,"October 01, 2024",53005.0,5371.0,35.0,,6223.68,6.49
CMP-0999,Summer Sale 2024,instagram,North America,55+,N/A,mobile,,30/11/2024,60226.0,6139.0,356.0,26458.49,20467.47,4.94
CMP-0911,Retargeting Q2,SEO,Latin America,45-54,male,tablet,Image,2023-04-28,68844.0,4508.0,120.0,28021.49,13702.43,7.02
CMP-0791,Product Launch - ProMax,email marketing,europe,Unknown,M,MOBILE,video,04-04-2024,10742.0,762.0,13.0,2060.48,1115.0,2.78
CMP-0664,product launch promax,TikTok,Middle East,55+,,Tablet,video,"May 08, 2023",26022.0,2742.0,110.0,7338.11,34745.7,2.4
CMP-0233,product launch promax,TikTok,Europe,18_24,male,Mobile,Video,15/10/2023,36283.0,1926.0,147.0,3447.98,30984.67,1.95
CMP-0119,black friday,FB,Europe,N/A,F,tablet,Video,21/12/2024,,6465.0,270.0,62595.84,26126.74,8.4
CMP-0627,New Year Push,facebook,APAC,35_44,male,Tablet,image,12 Jun 2024,51920.0,4979.0,320.0,23229.66,79844.97,5.83
CMP-0074,Summer Sale 2024,facebook,APAC,35-44,Other,,,28 Oct 2024,52786.0,1996.0,137.0,13891.43,44399.7,6.56
CMP-0822,retargeting q2,tiktok,europe,18-24,male,tablet,image,2023-04-22,57905.0,3366.0,161.0,18992.02,15025.95,6.47
CMP-1413,Retargeting Q2,GOOGLE ADS,middle east,N/A,F,Desktop,carousel,11-25-2024,88007.0,7594.0,207.0,23356.24,26096.86,2.73
CMP-0760,summer sale 2024,Instagram,latin america,18_24,Other,MOBILE,Image,2024-08-29,-93794.0,22.0,1.0,18.31,316.08,0.92
CMP-0049,Holiday Season,influencer,north america,25_34,Female,mobile,carousel,26/08/2024,105475.0,4290.0,185.0,10789.5,25029.36,2.9
CMP-0068,spring collection,tiktok,asia pacific,45-54,female,tablet,Video,2023-02-21,74255.0,5958.0,354.0,31280.61,49828.8,4.61
CMP-0422,Summer Sale 2024,influencer,NA,25-34,Other,desktop,,04-14-2023,33634.0,260.0,9.0,185.7,2249.88,0.71
